Feature,Importance
Temp_t12,0.016862811871128494
Temp_t10,0.015347081064589067
Temp_t11,0.012391142077256487
Temp_t8,0.008848840584765033
Resp_t9,0.00816238248810034
Resp_t11,0.008011730448824332
Temp_t9,0.007863857975889291
BUN_t11,0.007500592030232353
PaCO2_t12,0.007359341795043628
Resp_t10,0.007216436683700889
Resp_t7,0.007161553335277594
Resp_t12,0.006867798819576226
Age_t1,0.006731789187465959
Age_t3,0.006512265880421859
Temp_t7,0.006418972431388907
Age_t4,0.006387656607635936
Temp_t6,0.006142384921694186
HR_t12,0.00614100537898952
Age_t9,0.006029721706493402
Age_t8,0.006022715978527885
Age_t6,0.006010582851914321
BUN_t12,0.005978781781893688
Age_t5,0.005941812922290339
Age_t10,0.005899196913920062
Age_t7,0.005892400952600244
HR_t9,0.00574547584543933
Age_t11,0.005716099698372593
Resp_t1,0.0056116220768007916
Age_t2,0.005602647863854261
Resp_t3,0.005547061456311171
Age_t12,0.005542801499593835
pH_t12,0.005356589016897784
Resp_t8,0.005341105649943846
BaseExcess_t12,0.0053352255280442904
HR_t10,0.005315536632748774
HR_t7,0.005288876173322937
Hct_t11,0.005182470827571951
Resp_t6,0.0050441838538698444
HospAdmTime_t4,0.005031452898806812
Temp_t4,0.004978078275879374
Temp_t5,0.00496162219395026
Resp_t4,0.004929602819467682
Hct_t12,0.004902005170517846
FiO2_t9,0.004896307634860646
HR_t8,0.004886490157662225
Platelets_t12,0.004788340371840227
Resp_t5,0.00478253056850662
BUN_t10,0.004702143668570366
HospAdmTime_t8,0.004660293067826022
HospAdmTime_t1,0.004643493580674944
Resp_t2,0.004622270670600003
FiO2_t7,0.004615994159985635
HR_t6,0.004601773283209355
SBP_t7,0.004599057247245255
HR_t11,0.004546904199679827
Hgb_t11,0.004505822119669282
Hct_t10,0.0044572713525518155
WBC_t12,0.004451988170178573
HospAdmTime_t12,0.004440096791637051
HospAdmTime_t7,0.004423134270356739
pH_t11,0.004356066216609332
WBC_t11,0.004308278207992784
Hgb_t12,0.004306770055676863
HospAdmTime_t11,0.004293122635556733
SBP_t12,0.004264052717600182
Platelets_t11,0.0042048586299529645
HospAdmTime_t2,0.004183527526409052
HospAdmTime_t10,0.004154876654614362
Potassium_t11,0.004152498159891853
MAP_t12,0.004146830894275811
Potassium_t12,0.004114913468534424
HospAdmTime_t9,0.004113553395463789
HR_t5,0.0040978102836433826
PaCO2_t11,0.004078446917336711
HospAdmTime_t5,0.004074256344328881
HR_t4,0.0040369059199095066
FiO2_t10,0.004032867510065374
Glucose_t11,0.0039936824238332785
SBP_t5,0.003990334682534477
PTT_t12,0.003965413488623306
WBC_t10,0.0039584269670803396
SBP_t11,0.00393034755718868
Phosphate_t12,0.003913436116192819
Glucose_t12,0.003899854840789653
HR_t2,0.0038582018800457614
FiO2_t5,0.0038409324109538773
HospAdmTime_t3,0.003833815964128706
SBP_t10,0.0038333884560692436
SBP_t6,0.0038327986038489597
SBP_t9,0.0038255961428871514
BaseExcess_t10,0.003794997118633114
PTT_t10,0.0037913425666790557
MAP_t8,0.003690852497740357
pH_t8,0.003647295560784545
Hgb_t9,0.0036304465843615885
SBP_t3,0.0036210149080365406
Hgb_t10,0.0036159643732257057
FiO2_t6,0.0036120360345649823
HR_t3,0.003604658200220174
SBP_t8,0.0035814967361432726
Hct_t8,0.0035491047478854133
HospAdmTime_t6,0.003548233028558752
PTT_t11,0.00354150120485568
Creatinine_t11,0.003534317067716547
Temp_t3,0.0034640108429708372
Phosphate_t11,0.0034493253378008264
SBP_t4,0.003432798036456734
pH_t9,0.0034251836575898797
MAP_t9,0.003410516212510249
Glucose_t10,0.003372651906782585
pH_t10,0.003350596122668846
Potassium_t10,0.0033445980004209092
MAP_t10,0.003330310363941909
MAP_t11,0.0033217770950346483
Creatinine_t12,0.0032801194916884215
FiO2_t3,0.0032647775431042542
Hct_t9,0.0032496701240149746
Platelets_t9,0.003221211680274521
HR_t1,0.0032202087858956706
MAP_t3,0.0032150386354929676
MAP_t2,0.0032011893618764855
MAP_t6,0.0031584242163307436
Platelets_t10,0.0031421025390761916
SBP_t2,0.003134384060500052
FiO2_t12,0.0031300090775634253
Hct_t7,0.0031246778319046604
MAP_t1,0.003085260161457189
Unit2_t5,0.003083973349362179
Chloride_t12,0.003031929282708578
Lactate_t12,0.0030243487809962144
BUN_t9,0.003013909982200312
Hgb_t8,0.0030056746646116073
O2Sat_t12,0.0029625674129122
PTT_t9,0.0029235335569398045
DBP_t2,0.0029194084601800972
BaseExcess_t11,0.0029180255297992105
WBC_t9,0.0029149261725351715
PaCO2_t10,0.0028966701306686123
BUN_t8,0.00289311081523263
MAP_t5,0.0028792843381024997
Creatinine_t10,0.0028662966416667323
Potassium_t9,0.0028435616093814464
MAP_t4,0.0028011054647361032
pH_t6,0.0027887279639967964
Magnesium_t11,0.0027805111858365266
Glucose_t9,0.0027742185369582064
SBP_t1,0.0027290541241391532
FiO2_t11,0.002720734272348235
Calcium_t11,0.0027072451329506184
Unit1_t9,0.002693898964303807
Calcium_t12,0.0026727112035891663
DBP_t12,0.0026723560401272395
BUN_t7,0.0026380277198382283
MAP_t7,0.002627203865644557
O2Sat_t11,0.0026123084426166333
Glucose_t7,0.002608473971724909
Magnesium_t12,0.002575275909664764
DBP_t10,0.002574192533543337
Hct_t6,0.002548408721111396
pH_t7,0.002537634612089174
Chloride_t10,0.0025368819660047176
FiO2_t4,0.0025320913128025883
Magnesium_t10,0.0025025403462494936
DBP_t9,0.0024907329118340955
Chloride_t11,0.002479425180558788
